variable,PC1,PC2,PC3,PC4,PC5
u_LAC11,0.013606650728970113,-0.006925596539131705,-0.01874703360854508,0.000814495615291846,0.01625886814333594
u_LAC12,-0.01755860495763844,0.020888671672847612,0.029097428884695877,-0.014542902919007134,-0.12912237484109307
u_LAC13,-0.0021558729408279916,0.002003871481826761,-0.04939872196540529,0.018484551993969003,-0.030969135004519456
u_LAC15,0.011508347897633098,0.03041823114766302,0.0001661857137062869,0.005360310219340737,0.00879469880411857
u_LAC18,0.0023984682300976557,0.023222073744728504,0.0007412711405020357,-0.008255242361321328,-0.002657269067421099
u_LAC19,-0.02921204746148916,0.01321600299349538,-0.023755787805458495,-0.015555925063011239,-0.014584247968583172
u_LAC20,0.017254947906985212,0.069652117214711,0.012585473200936212,0.014258937677641895,-0.008302724009173696
u_LAC21,-0.016394642956849125,0.035849963537338866,0.02173573662465423,-0.02221439542120685,-0.17248884238176015
u_SOL3,0.07446991195266596,0.028515040491387027,-0.03525864824297245,0.15683880103864756,-0.03576329448539379
u_SOL11,-0.07331428696535303,-0.09623894789642835,0.06132273592863414,0.12125203186834252,0.002703594902434253
u_SOL15,0.06289414013916483,0.11844583845836101,-0.03558408973927216,-0.11517543004860824,-0.04929601158657908
u_SOL19,-0.00842622806481292,-0.09215263667336847,-0.034562099565233935,0.04190177403194067,0.11130822326484485
u_SOL7,-0.03428201427163819,-0.09619770970121128,0.04526059746046787,0.16166289483096033,0.027579295109137904
u_SOL39,0.09751919114842837,0.045713818723642476,-0.06311113763415072,0.1018721718714033,-0.02282990989843487
u_SOL43,-0.08442040685683358,0.0319178320940266,0.10868938331385945,0.003357262154777061,-0.005198024715652508
u_SOL27,-0.10026230906917784,-0.05601146684247052,0.06635692478098937,-0.1032154479544589,0.0356810062983911
u_SOL31,-0.005874749544993412,0.031158108088620684,0.08386552364726316,0.11426688923614808,0.0067039538757006426
u_SOL23,0.0915156011827238,0.11340248944043327,-0.026180834775226963,-0.03293370499788906,-0.015109043772073845
u_SOL47,0.07354944150134372,-0.017898387287330935,-0.09668077272233946,0.006342053965667908,0.014160111206237029
u_SOL55,-0.061246212138434133,-0.09504015239112715,0.015577376887261823,-0.04865653770058675,0.07275044585116987
u_SOL59,0.0920923156891394,0.10143364708585204,-0.023220371492225438,0.006232954771578599,-0.03029199307774991
u_SOL35,0.0730566570504865,0.02167075161262022,-0.09844147986200089,0.04799572265377634,-0.025395187139410358
u_TOP110,0.008750670711571111,0.01160018477531153,0.055044025019618595,0.010270034614511711,-0.06953880182313082
u_TOP112,-0.009267037230457032,-0.03760687468244473,0.0012074470388170886,0.001163359785261784,-0.07589719318551064
u_TOP114,0.0065165692454345475,-0.10609767575064179,-0.07023641994377544,0.05257337003567164,0.002036849335017193
u_TOP117,0.08347783888210934,0.06272691563057192,0.07152425906741318,0.04273813801771445,0.030661191100598947
u_TOP119,0.09286862582186825,0.056131052119976106,0.07133467811068778,0.04518926722938844,0.05728585512706586
u_TOP122,0.0959398680874909,0.12775229648129707,-0.012602198984344002,-0.01103273375006519,0.026667965142455737
u_TOP3,-0.08072728816741967,-0.01847011892319109,-0.0651152568471953,-0.0445236446098569,-0.078436277586825
u_TOP11,-0.007472040294470922,0.012453781817775681,0.02502639734097677,0.008087639704651595,-0.0029255362716564606
u_TOP15,0.08848568996985103,0.04333177218568798,0.0637845453749634,0.06708867098532649,0.05668461146643195
u_TOP19,0.04835981501707454,0.07152843981724033,0.06347848578030564,0.03164063572837196,-0.016155131417019145
